# source_sha256=bb2bbff8be3d637b38ed5d06277856c15f41ea262614edf974be8f4b96fdc791
identifier	owner_grid	duplicate_grid
0CDAA820-30C9-455E-8F21-A00C64245A96	SD	SJ
0CDDF605-6644-494A-98F7-96F7963212AD	NY	SD
0CE20AE3-A172-4623-942E-A16699F9505C	NT	NU
0CE299BB-CB26-4DD4-9FC8-44B129C24632	SO	ST
0CF04428-DD13-47A2-9DA1-109EA73DC301	SJ	SK
0CF045C5-57A9-47BE-B261-997FF63322C4	NN	NS
0CF2BE9D-4DEB-4E1B-BF91-1B9843F9DB94	SD	SJ
0CF66E96-A0F8-4050-9360-D972C164068D	SD	SJ
0CF7643D-9850-48BF-B064-D796C1991836	TG	TM
0D01AB7D-3669-4B2B-8A32-A87FDC9BEDFC	SO	ST
0D095CF3-E71A-4BA6-B65D-D27BC2D96A8C	NS	NT
0D233BDE-DE6E-4DFA-94C8-B8A96F30A75B	ST	SY
0D272430-4E13-4130-83AE-139335E6C47E	SJ	SK
0D3DAAE9-9933-46B5-B71F-F56C73B2C7F6	NW	NX
0D47094B-6F7D-426C-BE7F-60690E4320D0	NY	NZ
0D4A3843-3B9B-4CF1-9CA5-205789DBE6D7	SW	SX
0D4F1C46-F93C-4F49-BCD5-ABBD44C19182	SK	SP
0D52609B-D8D9-4A59-A462-1B19C7F76D61	NC	ND
0D55A9BC-A2CF-49D1-8617-34DC07F0BB94	SO	ST
0D5ECC15-C1F0-492C-9F43-8291B456CAD4	SK	SP
0D6534B2-B18A-4B4A-997E-FC24B865B88A	SU	SZ
0D726189-D7A9-46AD-B577-2EFF2604A502	NX	NY
0D7D95B9-FC6A-4328-91AD-14C93A63A536	SU	SZ
0D956471-DC70-429D-B711-571573F20500	NT	NU
0DB8DD28-3C68-4F4E-A301-B60117C265B3	SY	SZ
0DBB4910-C691-4B0D-A7BC-BE77B20D1EAB	SE	TA
0DBC5011-50F5-484A-9D24-4FF842FEE0F3	NM	NN
0DBC6A61-B07B-4547-9ECA-92099332FD88	NO	NT
0DCA2C91-2A6D-446F-9F39-EFDE12C685CD	SH	SJ
0DCB153E-B931-4FED-9C45-9375D91BFF57	SD	SE
0DDA2A13-291E-46BB-8793-8138B82B4ADF	SJ	SK
0DEE161B-6BB4-4D9F-A54F-BBA7241DF132	SU	SZ
0E130E2C-2337-4B9A-B64F-B9099EC0190C	TF	TL
0E1B1764-F640-489A-94DF-14CEDB8DAD0A	NS	NX
0E21226D-9A99-4F76-8A8D-5C70505DEB4B	SK	TF
0E21B0CF-1CF2-4D36-834E-FA6E206C0E63	TQ	TR
0E2B57C8-4ACF-4095-B61B-4EF56FAAF2F8	SN	SO
0E338217-512D-4194-8275-5416EC46D057	SD	SJ
0E4D4704-DC86-4227-8CE1-66044002FF80	TQ	TV
0E525564-4ADA-45EF-A51B-CE56A522C220	NU	NZ
0E578D94-C364-4A69-9C32-049D26D76C8E	SD	SE
